param	value	best_seed	best_mean_return	best_std_return
LINK_LENGTH_1	0.5	1	-54.225	0.604
LINK_LENGTH_1	0.6	2	-58.470	4.448
LINK_LENGTH_1	0.7	1	-61.225	8.156
LINK_LENGTH_1	0.8	4	-64.530	8.567
LINK_LENGTH_1	0.9	3	-67.380	7.191
LINK_LENGTH_1	1.0	0	-69.465	8.337
LINK_LENGTH_1	1.1	4	-79.975	11.586
LINK_LENGTH_1	1.2000000000000002	2	-88.130	13.625
LINK_LENGTH_1	1.3	2	-90.305	15.633
LINK_LENGTH_1	1.4	1	-93.885	15.250
LINK_LENGTH_1	1.5	0	-97.020	15.997
LINK_LENGTH_1	1.6	4	-96.745	14.800
LINK_LENGTH_1	1.7000000000000002	2	-106.245	19.126
LINK_LENGTH_1	1.8	4	-109.590	19.858
LINK_LENGTH_1	1.9000000000000001	4	-108.530	19.809
LINK_LENGTH_1	2.0	2	-113.140	20.720
