param	value	best_seed	best_mean_return	best_std_return
length	0.1	4	500.000	0.000
length	0.30000000000000004	4	500.000	0.000
length	0.5000000000000001	4	500.000	0.000
length	0.7000000000000002	2	500.000	0.000
length	0.9000000000000001	3	500.000	0.000
length	1.1	0	500.000	0.000
length	1.3000000000000003	1	500.000	0.000
length	1.5000000000000002	0	500.000	0.000
length	1.7000000000000004	1	500.000	0.000
length	1.9000000000000004	0	500.000	0.000
length	2.1000000000000005	2	500.000	0.000
length	2.3000000000000003	1	500.000	0.000
length	2.5000000000000004	1	500.000	0.000
length	2.7000000000000006	3	500.000	0.000
length	2.9000000000000004	1	500.000	0.000
